Frame,plane_x,plane_y
415,1177.210952018955,-4791.427135557824
416,1181.286484092969,-4792.321335984171
417,1185.2990967770404,-4793.951007176235
418,1189.2335585185308,-4796.268996694756
419,1193.0561574734709,-4799.202658980453
420,1196.7375546792534,-4802.674533342053
421,1200.255078739899,-4806.604141538282
422,1203.592679364764,-4810.907983512921
423,1206.73915974009,-4815.499375134445
424,1209.6862750373896,-4820.289165835922
425,1212.4320843364005,-4825.1944297400505
426,1214.9828692504677,-4830.143235156116
427,1217.3530117410444,-4835.074691243322
428,1219.559223909164,-4839.938043840162
429,1221.6128447704525,-4844.690381089532
430,1223.5192961810874,-4849.2962749506005
431,1225.2780865079637,-4853.727781198813
432,1226.8833097160611,-4857.964439425892
433,1228.3252060545103,-4861.993631341735
434,1229.5973230832633,-4865.815083784166
435,1230.701322714052,-4869.443942745667
436,1231.647096236013,-4872.910823087647
437,1232.4520154562463,-4876.258467857816
438,1233.1344205096748,-4879.532572390891
439,1233.7117477497725,-4882.780158500471
440,1234.200529685602,-4886.049574405229
441,1234.6161982688798,-4889.390264130882
442,1234.9719220748036,-4892.851274444993
443,1235.2692710711726,-4896.468056984732
444,1235.490418146815,-4900.25141709404
445,1235.5978925585812,-4904.187164832288
446,1235.5365107848193,-4908.2375546325975
447,1235.2423282590266,-4912.34717993006
448,1234.6451496540965,-4916.444482740495
449,1233.668528884775,-4920.441753661554
450,1232.2294561573124,-4924.236045654858
451,1230.2371361835606,-4927.71463234297
452,1227.6032050586648,-4930.772615157138
453,1224.2530117002495,-4933.329726606229
454,1220.1261512842425,-4935.331124741587
455,1215.175356753577,-4936.747066612382
456,1209.3606977664804,-4937.571190314177
457,1202.6476897011416,-4937.819952025944
458,1195.0072926253065,-4937.5326256835115
459,1186.4165571150265,-4936.770376260446
460,1176.8640796778666,-4935.607623440126
461,1166.3414940261787,-4934.112838069586
462,1154.8285240521748,-4932.329183617451
463,1142.2919831102536,-4930.273224968281
464,1128.6885810889219,-4927.935871008161
465,1113.9845259172553,-4925.288882226184
466,1098.1639308041022,-4922.287628032542
467,1081.2288490672638,-4918.871097264501
468,1063.1989580932402,-4914.96230231371
469,1044.1065845959995,-4910.475057320513
470,1024.0054081474568,-4905.330824058134
471,1002.9911900006482,-4899.477361968606
472,981.2036672836958,-4892.890408052227
473,958.8218774272052,-4885.572030682527
474,936.0212463968365,-4877.536082337742
475,912.950172339719,-4868.800615293059
476,889.7297619585454,-4859.387816079897
477,866.4538728772332,-4849.3238877073945
478,843.1905790585919,-4838.634754428824
479,819.975308867032,-4827.334350596074
480,796.793259038263,-4815.41142836391
481,773.5772660104261,-4802.828012572497
482,750.2117834700864,-4789.521259211919
483,726.5808550729258,-4775.4254115306485
484,702.6004404868772,-4760.486183557574
485,678.2190770362582,-4744.661015282767
486,653.4178797017721,-4727.919111617267
487,628.210541315328,-4710.246267741331
488,602.6434130078319,-4691.655199786132
489,576.795708349186,-4672.188930565446
490,550.7795352444572,-4651.921148063785
491,524.7372149486071,-4630.953731562274
492,498.79768913817287,-4609.376932366739
493,473.0407225977094,-4587.237220993799
494,447.4957897141286,-4564.536368603155
495,422.1420744145068,-4541.231445394663
496,396.90833157936265,-4517.231214918598
497,371.67672262634807,-4492.386838792533
498,346.29648806202715,-4466.496062826608
499,320.5867108996502,-4439.304499508487
500,294.33821633679486,-4410.508391516558
501,267.35745960585166,-4379.818401423757
502,239.51084919863933,-4347.023911771587
503,210.7267731864855,-4311.995937040757
504,180.99559922022692,-4274.687123651161
505,150.36980712636014,-4235.132993715969
506,118.96148365173626,-4193.456913722807
507,86.929446102636,-4149.866334617378
508,54.475878487445534,-4104.6513026715165
509,21.845473979673088,-4058.1828405161737
510,-10.704268588747192,-4010.8553643626483
511,-42.93856763751683,-3963.011683329127
512,-74.64712611447409,-3914.937056026752
513,-105.64413117306438,-3866.859189617869
514,-135.7682903836328,-3818.947561229661
515,-164.88184748002544,-3771.307883260892
516,-192.86391874024582,-3723.980822378589
517,-219.60825820688174,-3676.942538256525
518,-245.0232513886374,-3630.105005086852
519,-269.0322674372067,-3583.3357955408296
520,-291.5789596019829,-3536.495327721798
521,-312.6302448771192,-3489.4436626489046
522,-332.17633067808043,-3442.0405425366853
523,-350.23074829064404,-3394.1457245221404
524,-366.8334459983224,-3345.623344753719
525,-382.0685979668511,-3296.3400556241004
526,-396.0718329089651,-3246.1626315726694
527,-409.030127440304,-3194.9580788578996
528,-421.16644631575565,-3142.606874322677
529,-432.7057201973874,-3089.0225260131106
530,-443.8673658006291,-3034.149145101328
531,-454.86516286902656,-2977.9612885705105
532,-465.9072446801784,-2920.464009072592
533,-477.19129295809586,-2861.6962091354108
534,-488.8645509438282,-2801.747282530358
535,-501.00315947356563,-2740.764826659865
536,-513.6120154700247,-2678.954655158383
537,-526.6362001294871,-2616.5645586660694
538,-539.989941475334,-2553.849142218793
539,-553.5625826785829,-2491.0693458596074
540,-567.2187039333803,-2428.492783458262
541,-580.7981245019514,-2366.3937102773675
542,-594.120065154814,-2305.047499363005
543,-607.0297941893067,-2244.701854393656
544,-619.4287288259997,-2185.561849717152
545,-631.2749396876694,-2127.7896867470204
546,-642.5704303773366,-2071.500909389597
547,-653.322319531672,-2016.7481506820643
548,-663.5354623859822,-1963.5095336519712
549,-673.2124507742112,-1911.6875799604256
550,-682.3536131289405,-1861.109209902097
551,-690.9543371662879,-1811.5282162793364
552,-698.9619760449528,-1762.6650836740841
553,-706.2410514404336,-1714.2391412617858
554,-712.5722594540842,-1665.9694813966553
555,-717.6742059314365,-1617.5989770605024
556,-721.287869204863,-1568.9913673034266
557,-723.1967441024719,-1520.165276687693
558,-723.2267566370773,-1471.296414100797
559,-721.2462640061974,-1422.7175727554634
560,-717.1673392645753,-1374.9172045593234
561,-710.9863947395377,-1328.4825348506747
562,-702.8269184573035,-1284.0380802707105
